,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,MonthClaimed_int,DayOfWeekClaimed_int
372,Dec,4,Wednesday,Pontiac,Urban,Wednesday,Jan,3,Female,Married,46,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,5324,7,400,2,more than 30,more than 30,none,6 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,1,3
373,Dec,4,Sunday,Mazda,Urban,Wednesday,Jan,3,Male,Married,79,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,5325,9,400,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,1,3
374,Jan,3,Tuesday,Pontiac,Urban,Wednesday,Jan,3,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,5343,16,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,1,3
375,Jan,2,Monday,Mercury,Urban,Wednesday,Jan,3,Male,Married,53,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,5398,14,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils,1,3
376,Jan,3,Wednesday,Pontiac,Urban,Thursday,Jan,3,Male,Married,29,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,254,15,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,1,4
377,Jan,2,Sunday,Toyota,Rural,Thursday,Jan,3,Male,Single,36,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,509,1,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,1,4
378,Jan,3,Wednesday,Mazda,Urban,Thursday,Jan,3,Male,Single,47,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,706,15,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,1,4
379,Jan,3,Thursday,Pontiac,Urban,Thursday,Jan,3,Male,Single,43,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,761,7,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,1,4
380,Jan,3,Thursday,Toyota,Urban,Thursday,Jan,3,Male,Married,53,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1534,9,400,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,3 to 5,4 to 8 years,2 vehicles,1994,Liability,1,4
381,Jan,3,Monday,Pontiac,Urban,Thursday,Jan,3,Male,Married,63,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1786,13,500,4,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,1 to 2,2 to 3 years,2 vehicles,1994,All Perils,1,4
382,Jan,2,Thursday,Accura,Urban,Thursday,Jan,3,Female,Married,44,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1817,9,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,1,4
383,Jan,2,Friday,Honda,Urban,Thursday,Jan,3,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,1946,3,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,1,4
384,Jan,3,Tuesday,Pontiac,Urban,Thursday,Jan,3,Male,Married,27,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1970,2,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,1,4
385,Jan,3,Friday,Honda,Urban,Thursday,Jan,3,Male,Single,34,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,2320,1,400,2,more than 30,more than 30,2 to 4,new,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,1,4
386,Jan,3,Thursday,Honda,Urban,Thursday,Jan,3,Male,Married,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3439,4,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,1,4
387,Jan,3,Tuesday,Mazda,Rural,Thursday,Jan,3,Male,Married,30,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,3674,3,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,1,4
388,Jan,3,Thursday,Pontiac,Urban,Thursday,Jan,3,Male,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3910,12,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,1,4
389,Jan,3,Wednesday,Pontiac,Urban,Thursday,Jan,3,Female,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4517,15,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,1,4
390,Jan,3,Thursday,Mazda,Urban,Thursday,Jan,3,Male,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5172,11,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,1,4
391,Dec,3,Saturday,Toyota,Urban,Thursday,Jan,3,Male,Married,27,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,5323,4,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,1,4
392,Jan,3,Tuesday,Mazda,Urban,Thursday,Jan,3,Male,Married,30,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,5393,14,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,1,4
393,Jan,1,Tuesday,Honda,Urban,Thursday,Jan,3,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,5668,13,400,1,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision,1,4
394,Jan,3,Sunday,Toyota,Urban,Thursday,Jan,3,Male,Single,22,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,5745,15,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,1,4
395,Jan,2,Thursday,Honda,Urban,Thursday,Jan,3,Male,Single,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5746,1,400,1,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,1,4
396,Jan,3,Wednesday,Saab,Urban,Thursday,Jan,3,Female,Widow,21,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,5939,15,400,1,more than 30,more than 30,1,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision,1,4
397,Jan,2,Saturday,Honda,Urban,Thursday,Jan,3,Male,Married,47,Policy Holder,Sedan - Liability,Sport,more than 69000,0,5997,13,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability,1,4
398,Jan,3,Friday,Ford,Urban,Friday,Jan,3,Male,Married,28,Policy Holder,Sedan - Liability,Sport,more than 69000,0,13,11,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,1,5
399,Nov,4,Sunday,Honda,Urban,Friday,Jan,3,Male,Single,0,Third Party,Sedan - All Perils,Sedan,more than 69000,0,63,3,400,2,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,1,5
400,Nov,2,Thursday,Honda,Urban,Friday,Jan,3,Male,Single,34,Policy Holder,Sport - Collision,Sport,more than 69000,1,95,7,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,1,5
401,Jan,2,Sunday,Honda,Urban,Friday,Jan,3,Male,Married,41,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,275,9,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,1,5
402,Jan,1,Tuesday,Honda,Urban,Friday,Jan,3,Male,Single,39,Policy Holder,Sport - Collision,Sport,more than 69000,0,276,11,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,1,5
403,Jan,2,Monday,Pontiac,Urban,Friday,Jan,3,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,534,7,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,3 to 4,1994,Collision,1,5
404,Jan,2,Friday,Honda,Urban,Friday,Jan,3,Male,Married,48,Policy Holder,Sport - Collision,Sport,more than 69000,0,1602,6,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,1,5
405,Jan,2,Wednesday,VW,Urban,Friday,Jan,3,Male,Married,41,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,1819,16,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,1,5
406,Jan,2,Friday,Toyota,Urban,Friday,Jan,3,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1945,13,400,4,more than 30,more than 30,1,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,1,5
407,Jan,2,Sunday,Toyota,Urban,Friday,Jan,3,Female,Single,35,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,1965,8,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,1,5
408,Jan,2,Saturday,Honda,Urban,Friday,Jan,3,Male,Married,54,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1967,4,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,1,5
409,Jan,3,Tuesday,Pontiac,Urban,Friday,Jan,3,Female,Single,21,Policy Holder,Sedan - Liability,Sport,less than 20000,0,3315,7,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,1,5
410,Jan,2,Thursday,Pontiac,Urban,Friday,Jan,3,Male,Married,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3533,9,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,1,5
411,Jan,2,Monday,Honda,Urban,Friday,Jan,3,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,3647,11,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,1,5
412,Jan,3,Friday,Toyota,Rural,Friday,Jan,3,Male,Single,34,Policy Holder,Sedan - Liability,Sport,more than 69000,0,3671,11,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,1,5
413,Jan,3,Friday,Pontiac,Urban,Friday,Jan,3,Male,Married,57,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4617,5,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability,1,5
414,Jan,3,Monday,Mazda,Urban,Friday,Jan,3,Female,Married,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4959,12,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,1,5
415,Jan,2,Tuesday,Mazda,Urban,Friday,Jan,3,Male,Married,39,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,5245,16,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,1,5
416,Dec,2,Tuesday,Accura,Urban,Friday,Jan,3,Male,Married,34,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,5311,16,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,1,5
417,Dec,5,Wednesday,Toyota,Urban,Friday,Jan,3,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5319,14,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,1,5
418,Jan,2,Saturday,Honda,Urban,Friday,Jan,3,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,5338,12,400,3,more than 30,more than 30,1,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,1,5
419,Jan,3,Friday,Toyota,Urban,Friday,Jan,3,Male,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5341,4,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,1,5
420,Jan,3,Wednesday,Honda,Urban,Monday,Jan,4,Male,Single,34,Policy Holder,Sport - Collision,Sport,more than 69000,0,2,15,400,4,more than 30,more than 30,none,6 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,Collision,1,1
421,Jan,3,Tuesday,Honda,Urban,Monday,Jan,4,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,44,5,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,1,1
422,Jan,2,Thursday,Honda,Urban,Monday,Jan,4,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,93,16,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,1,1
423,Jan,3,Thursday,Toyota,Urban,Monday,Jan,4,Male,Single,40,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,98,4,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,1,1
424,Jan,4,Sunday,Chevrolet,Rural,Monday,Jan,4,Male,Married,27,Third Party,Sedan - Liability,Sport,30000 to 39000,0,129,9,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,Yes,External,none,no change,1 vehicle,1994,Liability,1,1
425,Jan,2,Wednesday,Toyota,Urban,Monday,Jan,4,Female,Married,32,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,165,14,400,1,more than 30,more than 30,more than 4,4 years,31 to 35,No,No,External,1 to 2,no change,3 to 4,1994,Collision,1,1
426,Jan,3,Monday,Pontiac,Urban,Monday,Jan,4,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,253,3,400,2,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision,1,1
427,Jan,3,Tuesday,Honda,Urban,Monday,Jan,4,Male,Single,40,Third Party,Sedan - Liability,Sport,20000 to 29000,0,297,15,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,1,1
428,Jan,3,Saturday,Honda,Urban,Monday,Jan,4,Male,Married,33,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,299,14,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,1,1
429,Jan,2,Friday,Toyota,Urban,Monday,Jan,4,Male,Married,38,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,458,8,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,1,1
430,Jan,2,Wednesday,Pontiac,Urban,Monday,Jan,4,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,557,5,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,1,1
431,Jan,4,Friday,Pontiac,Urban,Monday,Jan,4,Male,Married,55,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,734,12,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,1,1
432,Jan,4,Saturday,Honda,Urban,Monday,Jan,4,Female,Single,27,Third Party,Sedan - All Perils,Sedan,more than 69000,0,779,8,400,4,more than 30,more than 30,more than 4,new,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,1,1
433,Jan,3,Saturday,Toyota,Urban,Monday,Jan,4,Male,Married,43,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1247,1,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,1,1
434,Jan,4,Saturday,Honda,Urban,Monday,Jan,4,Female,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1535,7,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,1,1
435,Jan,4,Monday,Accura,Urban,Monday,Jan,4,Male,Married,61,Third Party,Utility - All Perils,Utility,more than 69000,0,1536,5,400,3,more than 30,more than 30,more than 4,more than 7,51 to 65,No,Yes,External,none,no change,1 vehicle,1994,All Perils,1,1
436,Dec,4,Tuesday,Toyota,Urban,Monday,Jan,4,Female,Married,30,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1612,10,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,1,1
437,Jan,4,Monday,Pontiac,Urban,Monday,Jan,4,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1932,7,400,4,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,1,1
438,Jan,4,Saturday,Toyota,Rural,Monday,Jan,4,Male,Single,33,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1972,9,400,3,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,1,1
439,Jul,1,Friday,Honda,Urban,Monday,Jan,4,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,2126,9,400,3,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision,1,1
440,Jan,2,Monday,Pontiac,Urban,Monday,Jan,4,Male,Married,42,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2306,10,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,1,1
441,Jan,3,Thursday,Toyota,Urban,Monday,Jan,4,Female,Single,35,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2720,13,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,1,1
442,Dec,1,Sunday,Mazda,Urban,Monday,Jan,4,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3243,16,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,1,1
443,Jan,4,Sunday,Saab,Urban,Monday,Jan,4,Male,Single,42,Policy Holder,Sedan - Liability,Sport,more than 69000,0,3285,11,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,1,1
444,Jan,3,Thursday,Honda,Urban,Monday,Jan,4,Male,Married,55,Policy Holder,Sport - Collision,Sport,more than 69000,0,3312,8,400,4,more than 30,more than 30,none,more than 7,41 to 50,Yes,No,External,none,no change,1 vehicle,1994,Collision,1,1
445,Jan,4,Sunday,Pontiac,Urban,Monday,Jan,4,Male,Single,55,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3436,9,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,1,1
446,Jan,4,Saturday,Pontiac,Urban,Monday,Jan,4,Female,Single,22,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3440,1,400,1,more than 30,more than 30,more than 4,5 years,26 to 30,Yes,Yes,External,1 to 2,no change,1 vehicle,1994,Collision,1,1
447,Jan,4,Monday,Pontiac,Urban,Monday,Jan,4,Male,Married,51,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3462,16,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,1,1
448,Jan,4,Sunday,Mazda,Urban,Monday,Jan,4,Male,Single,31,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3638,16,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,1,1
449,Jan,4,Friday,Honda,Urban,Monday,Jan,4,Female,Single,26,Third Party,Sedan - All Perils,Sedan,less than 20000,0,3704,10,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,1,1
450,Jan,3,Thursday,Mazda,Urban,Monday,Jan,4,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,4033,11,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision,1,1
451,Jan,4,Friday,Honda,Urban,Monday,Jan,4,Male,Married,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4392,4,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,1,1
452,Jan,1,Sunday,Pontiac,Urban,Monday,Jan,4,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4918,2,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,1,1
453,Jan,4,Sunday,Ford,Urban,Monday,Jan,4,Male,Married,46,Policy Holder,Sedan - Liability,Sport,60000 to 69000,0,4950,1,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,1,1
454,Nov,2,Tuesday,Chevrolet,Urban,Monday,Jan,4,Male,Married,45,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5051,9,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,1,1
455,Jan,4,Saturday,VW,Urban,Monday,Jan,4,Male,Single,28,Policy Holder,Sedan - All Perils,Sedan,40000 to 59000,0,5099,15,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,1,1
456,Jan,4,Saturday,Mazda,Urban,Monday,Jan,4,Male,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,5100,2,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,1,1
457,Jan,3,Friday,Honda,Urban,Monday,Jan,4,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,5171,5,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,1,1
458,Jan,3,Friday,Toyota,Urban,Monday,Jan,4,Male,Single,44,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,5173,8,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,1,1
459,Jan,3,Thursday,Honda,Urban,Monday,Jan,4,Male,Single,0,Third Party,Sedan - All Perils,Sedan,more than 69000,0,5315,6,400,4,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,1,1
460,Jan,2,Friday,Honda,Urban,Monday,Jan,4,Male,Married,79,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5334,5,400,3,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Liability,1,1
461,Jan,2,Friday,Pontiac,Urban,Monday,Jan,4,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5360,15,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,1,1
462,Dec,1,Friday,Toyota,Rural,Monday,Jan,4,Male,Married,39,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,5400,13,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,1,1
463,Dec,5,Wednesday,Chevrolet,Urban,Monday,Jan,4,Male,Single,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5672,15,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,1,1
464,Jan,4,Friday,Honda,Urban,Monday,Jan,4,Male,Married,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5741,15,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,3 to 4,1994,Liability,1,1
465,Jan,4,Monday,Honda,Urban,Tuesday,Jan,4,Male,Single,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,34,2,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,1,2
466,Jan,3,Monday,Pontiac,Urban,Tuesday,Jan,4,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,252,10,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,1,2
467,Jan,2,Monday,Chevrolet,Urban,Tuesday,Jan,4,Male,Married,37,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1,523,13,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,1,2
468,Jan,3,Friday,Toyota,Urban,Tuesday,Jan,4,Male,Single,26,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,593,12,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,1,2
469,Jan,3,Monday,Mazda,Urban,Tuesday,Jan,4,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,647,13,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,1,2
470,Jan,4,Tuesday,Chevrolet,Urban,Tuesday,Jan,4,Male,Married,39,Policy Holder,Sedan - Liability,Sport,30000 to 39000,1,831,6,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,1,2
471,Aug,2,Friday,Pontiac,Urban,Tuesday,Jan,4,Male,Married,55,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1794,11,400,2,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,1,2
472,Dec,5,Wednesday,Honda,Urban,Tuesday,Jan,4,Male,Single,0,Third Party,Sedan - All Perils,Sedan,more than 69000,0,1958,15,400,4,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,1,2
473,Jan,4,Saturday,Pontiac,Urban,Tuesday,Jan,4,Male,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2308,15,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,1,2
